,Location_type,zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,wh_owner_type,flood_impacted,electric_supply,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m
118,1,2,2,1,2,1,0,1,2009.0,28,0,4,5
119,1,2,2,0,3,1,0,1,2009.0,7,0,3,2
120,1,3,7,3,3,1,0,1,2009.0,14,0,3,4
121,1,2,5,0,2,0,0,1,2010.0,15,0,2,4
122,1,3,4,0,4,1,0,0,2000.0,26,1,4,2
123,1,1,4,2,3,1,0,0,2009.0,4,0,2,2
124,1,2,3,1,3,1,0,0,2009.0,22,0,2,6
125,1,3,2,1,2,1,0,1,2009.0,30,0,3,2
126,1,2,8,0,2,1,0,1,2009.0,18,0,2,6
127,1,0,8,0,8,0,1,1,2011.0,15,0,2,5
128,1,2,6,0,2,1,0,1,2009.0,21,0,3,4
129,1,1,4,0,2,1,0,0,2014.0,20,0,4,2
130,1,1,8,1,3,1,0,1,1998.0,26,0,4,4
131,1,2,7,0,3,1,0,1,2022.0,5,0,2,1
132,1,1,1,1,2,0,0,1,2009.0,24,0,0,4
133,1,2,8,0,3,1,0,1,2010.0,15,1,1,4
134,1,1,6,1,4,1,1,1,2009.0,11,1,1,6
135,1,2,8,1,3,1,0,1,2006.0,24,0,0,4
136,1,1,4,3,2,0,0,0,2009.0,16,0,0,4
137,1,3,7,0,4,1,1,1,2014.0,9,0,0,4
138,1,3,1,1,4,1,0,1,2009.0,6,0,4,1
139,1,3,7,1,7,1,0,1,2013.0,18,1,1,1
140,1,1,4,2,5,0,0,1,2002.0,15,1,1,4
141,1,1,1,0,6,1,0,1,2009.0,4,0,4,2
142,1,3,1,0,2,1,1,1,2009.0,20,0,1,1
143,1,2,3,0,2,1,0,1,2015.0,17,0,2,5
144,1,2,2,0,3,0,0,0,2009.0,10,0,2,6
145,1,2,1,0,2,1,1,1,2009.0,39,0,3,4
146,1,1,7,3,4,0,0,0,2006.0,21,1,1,5
147,1,1,3,0,3,1,1,1,2000.0,24,0,0,4
148,1,1,7,1,3,1,0,0,2009.0,22,0,3,3
149,1,2,6,0,2,0,0,0,2011.0,18,1,2,4
150,1,3,0,0,5,1,0,0,2009.0,23,0,2,5
151,1,2,0,0,2,1,0,0,2009.0,24,0,1,2
152,1,3,1,2,3,0,0,0,2009.0,21,0,4,3
153,1,3,6,0,4,0,0,0,2002.0,26,0,3,4
154,1,1,5,5,2,1,0,1,2009.0,24,0,2,5
155,1,2,1,4,3,1,0,1,2009.0,4,0,4,3
156,1,1,3,0,4,1,0,1,2007.0,23,0,3,2
157,1,3,1,0,3,0,0,1,2009.0,12,0,3,5
158,1,1,4,0,3,0,0,1,2012.0,20,0,0,2
159,1,3,1,0,4,0,0,1,2009.0,19,0,3,3
160,1,1,1,0,4,0,1,1,2009.0,26,0,0,5
161,1,3,4,1,4,0,0,1,2009.0,15,0,0,6
162,1,3,5,0,3,1,0,1,2009.0,20,0,3,4
163,1,2,4,0,2,1,0,0,2018.0,13,1,4,2
164,1,3,4,0,5,0,0,1,1997.0,25,0,3,4
165,1,1,2,0,2,1,0,0,2009.0,24,0,2,2
166,1,3,5,0,4,1,0,1,2000.0,32,0,2,6
167,1,1,3,0,4,1,0,1,2017.0,10,1,1,1
168,1,1,5,1,3,0,0,1,2009.0,24,1,1,2
169,1,1,3,0,2,0,0,0,2006.0,33,0,4,2
170,1,2,4,3,3,0,0,1,2017.0,6,1,2,5
171,1,2,8,0,2,1,0,0,2016.0,14,1,1,6
172,1,1,8,0,3,0,0,1,2017.0,6,0,0,2
173,1,1,7,1,3,0,0,1,2015.0,13,0,3,1
174,1,3,3,1,2,1,0,1,2009.0,15,0,0,6
175,1,2,3,0,2,1,0,1,2009.0,5,0,0,3
176,1,2,3,0,2,0,0,0,2023.0,0,0,4,0
177,1,3,8,3,4,0,0,1,2009.0,5,0,2,6
178,1,2,8,0,2,1,0,1,2008.0,24,1,2,5
179,1,1,1,0,2,1,0,1,2009.0,9,0,2,1
180,1,1,0,1,3,0,0,1,2009.0,29,0,1,4
181,0,2,4,3,2,0,0,0,2009.0,12,0,0,4
182,1,3,7,0,4,1,0,1,2008.0,22,1,1,5
183,1,1,5,0,2,1,0,1,2005.0,25,1,2,2
184,1,1,0,0,2,0,0,1,2009.0,14,0,1,4
185,1,3,0,0,4,0,1,1,2009.0,15,0,2,6
186,1,1,6,2,3,1,0,1,2009.0,5,1,2,2
187,0,1,0,0,4,0,0,1,2009.0,39,0,0,5
188,1,3,6,2,4,1,0,0,2009.0,0,0,4,0
189,1,1,1,1,4,0,0,1,2009.0,4,0,4,1
190,1,1,4,3,2,0,1,0,2016.0,5,1,0,3
191,1,2,1,0,2,1,1,0,2009.0,18,0,4,4
192,1,3,3,0,5,0,0,0,2022.0,0,0,4,0
193,1,1,3,1,4,1,1,1,1999.0,33,0,3,6
194,1,2,0,0,4,0,0,0,2009.0,13,0,1,1
195,1,2,1,0,2,1,0,0,2009.0,0,0,4,0
196,1,2,2,0,2,1,0,1,2009.0,11,0,0,5
197,1,1,8,1,3,1,0,1,2009.0,12,1,0,4
198,1,3,0,0,5,1,0,1,2009.0,19,0,0,6
199,0,1,6,1,4,0,0,1,2014.0,10,1,2,4
200,1,1,5,1,3,1,0,1,2009.0,7,0,3,4
201,1,3,5,4,4,0,0,1,2000.0,25,0,2,6
202,1,1,8,0,3,0,0,1,2016.0,12,0,0,1
203,1,1,6,1,2,1,0,1,2020.0,5,0,0,2
204,1,1,2,0,4,1,0,0,2009.0,38,0,1,2
205,1,1,5,0,3,1,1,1,2009.0,17,1,4,4
206,1,2,5,0,2,1,0,1,2018.0,11,0,0,2
207,1,3,5,0,4,1,0,0,1997.0,34,0,3,4
208,1,3,1,0,3,0,0,1,2009.0,4,1,3,3
209,1,1,0,0,3,0,0,1,2009.0,24,0,3,4
210,1,3,1,1,6,0,0,1,2009.0,18,0,4,3
211,1,3,8,0,4,0,0,0,2020.0,4,0,2,3
212,1,2,7,0,4,1,0,1,2018.0,13,0,3,3
213,1,3,5,4,4,1,0,1,2022.0,5,1,2,1
214,1,1,3,1,2,0,0,0,2009.0,21,0,4,4
215,1,3,5,3,4,0,0,1,2009.0,4,1,4,3
216,1,3,7,0,2,0,0,1,2019.0,6,0,0,2
217,1,3,4,0,3,0,0,1,2012.0,19,0,2,4
218,1,1,3,2,4,0,0,1,1998.0,23,0,3,3
219,1,1,4,0,2,0,0,1,2005.0,24,1,0,4
220,1,3,7,0,3,1,0,1,2005.0,28,0,4,2
221,1,1,5,0,2,1,0,1,2014.0,13,0,2,4
222,1,1,7,0,4,0,0,1,2021.0,0,0,4,0
223,0,1,1,0,4,0,0,0,2009.0,23,1,1,4
224,0,1,1,1,4,1,0,1,2009.0,20,0,2,6
225,0,2,3,0,2,1,0,1,1999.0,25,1,1,6
226,0,2,2,0,2,1,0,1,2009.0,29,0,4,5
227,1,3,5,0,4,1,0,1,2018.0,6,0,3,1
228,1,3,5,2,3,1,0,1,2009.0,14,0,2,6
229,1,3,2,5,7,1,0,1,2009.0,4,0,4,2
230,1,1,7,5,4,0,0,0,2009.0,17,0,2,5
231,0,1,8,0,3,1,0,1,2007.0,33,1,1,6
232,1,3,5,0,3,0,0,1,1998.0,24,1,3,5
233,1,3,0,3,5,1,0,1,2009.0,5,0,1,4
234,1,3,8,2,4,0,0,1,2005.0,17,1,0,6
235,1,1,4,3,4,1,0,1,2009.0,22,1,4,5
236,1,1,8,0,3,1,0,1,1997.0,27,0,3,6
237,1,3,4,0,5,0,0,0,2004.0,23,1,0,3
238,1,1,2,1,3,0,0,1,2009.0,15,0,2,3
239,1,2,0,1,2,1,0,0,2009.0,28,0,1,2
240,1,3,4,0,7,0,1,1,2019.0,7,0,2,1
241,1,3,5,3,3,0,0,0,2009.0,15,0,0,4
242,1,2,5,0,4,1,0,1,2002.0,30,0,3,6
243,1,3,7,4,4,1,0,1,2009.0,14,0,4,4
244,1,1,6,0,3,1,0,1,2009.0,4,0,0,3
245,1,2,2,0,2,1,0,1,2009.0,18,0,1,3
246,1,3,8,1,3,0,0,0,2009.0,26,0,4,3
247,1,3,3,0,2,1,0,1,2013.0,15,1,3,4
248,1,3,8,0,4,0,0,0,2013.0,20,1,1,5
249,1,2,4,0,3,0,0,1,2020.0,8,1,0,3
250,1,2,8,0,2,1,0,0,2021.0,6,0,3,1
251,1,1,2,0,3,1,0,0,2009.0,37,1,1,5
252,1,1,0,2,3,0,0,1,2009.0,28,0,3,4
253,1,3,1,0,4,0,0,1,2009.0,9,0,3,5
254,0,1,2,0,4,1,0,1,2009.0,34,0,2,3
255,1,1,2,1,3,0,0,0,2009.0,24,0,3,5
256,1,3,5,0,3,1,0,1,2014.0,14,0,3,3
257,1,3,1,0,4,0,0,1,2009.0,34,0,0,4
258,1,2,0,0,2,1,0,1,2009.0,7,0,4,1
259,0,3,5,2,3,0,0,1,2015.0,12,0,3,4
260,1,3,6,2,2,1,0,0,2009.0,14,0,2,3
261,1,3,7,1,5,1,0,1,2009.0,14,0,0,4
262,1,2,0,2,3,1,0,0,2009.0,24,0,2,3
263,1,3,7,0,2,1,0,1,2016.0,13,0,0,4
264,1,1,1,0,2,1,0,1,2009.0,0,0,4,0
265,1,3,5,0,3,1,0,0,2013.0,18,0,2,6
266,1,1,4,0,4,0,0,1,2021.0,0,0,4,0
267,1,1,6,4,4,1,0,1,2009.0,22,0,0,4
268,1,1,5,0,6,1,0,1,1999.0,23,0,3,3
269,1,3,2,4,4,0,0,0,2009.0,22,0,4,3
270,1,1,4,4,4,0,0,1,2008.0,24,1,1,4
271,1,3,1,0,4,0,0,0,2009.0,5,0,3,1
272,1,3,2,0,2,0,0,0,2009.0,13,0,3,4
273,1,2,0,5,2,1,0,1,2009.0,15,0,1,2
274,1,1,6,4,2,0,0,1,2009.0,4,0,4,3
275,0,1,3,2,2,1,0,1,2009.0,18,1,1,3
276,1,3,6,0,3,0,0,0,2016.0,11,1,2,3
277,1,1,7,0,4,1,0,0,2006.0,26,0,0,2
278,1,2,7,0,2,1,1,1,2009.0,7,1,2,3
279,1,3,0,0,4,1,0,1,2009.0,24,0,3,2
280,0,2,4,0,2,0,0,0,2009.0,5,1,1,4
281,1,1,1,0,3,1,1,1,2009.0,0,0,4,0
282,1,3,2,1,2,1,0,0,2009.0,15,0,2,5
283,1,3,8,0,4,1,0,1,2009.0,4,0,0,1
284,1,3,1,0,4,1,0,1,2009.0,14,0,3,4
285,1,2,4,0,2,1,0,0,2010.0,18,0,2,4
286,1,3,2,0,3,0,0,0,2009.0,19,0,1,2
287,1,1,8,0,4,1,0,1,2011.0,24,1,4,3
288,1,3,5,0,3,1,0,1,2005.0,25,0,3,4
289,0,1,3,0,2,1,1,1,2004.0,38,0,0,6
290,1,1,2,0,4,0,0,1,2009.0,25,0,3,6
291,1,3,6,0,3,0,0,1,2004.0,22,0,4,4
292,1,1,8,3,2,1,0,1,2009.0,19,0,2,6
293,1,1,1,0,1,1,0,1,2009.0,8,0,4,2
294,1,3,0,0,4,1,0,1,2009.0,19,0,1,3
295,0,1,4,0,2,0,0,0,1998.0,28,0,0,5
296,1,3,5,0,10,1,0,1,2006.0,38,0,2,5
297,1,2,1,1,2,0,0,1,2009.0,18,0,3,5
298,1,1,0,0,2,1,0,1,2009.0,7,0,2,1
299,1,2,5,0,2,1,0,1,2017.0,6,0,3,2
300,1,2,4,1,2,1,0,1,1999.0,25,0,0,3
301,1,1,4,0,4,1,0,0,2020.0,8,1,3,1
302,1,3,5,1,4,1,0,1,2009.0,13,0,3,2
303,1,1,3,0,4,0,0,0,2009.0,23,1,4,2
304,1,1,4,0,4,0,0,0,2010.0,21,1,4,3
305,1,2,4,0,2,1,0,1,2018.0,5,1,0,2
306,1,1,5,3,4,0,0,1,2009.0,17,1,4,4
307,1,1,3,0,2,1,0,0,2007.0,23,0,4,5
308,1,1,3,0,2,0,0,0,2020.0,5,1,4,2
309,0,1,1,0,3,0,0,1,2009.0,16,0,4,6
310,1,1,7,0,2,0,0,0,2010.0,15,1,3,4
311,1,2,4,0,2,1,1,1,2011.0,19,1,1,2
312,1,3,8,5,4,1,0,0,2009.0,16,0,0,2
313,1,0,0,0,4,1,0,1,2009.0,8,0,3,3
314,1,1,1,5,4,1,0,1,2009.0,6,0,0,3
315,1,1,7,0,2,1,0,0,2003.0,27,0,0,3
316,1,1,7,0,3,1,0,1,2014.0,16,1,1,2
317,1,1,0,0,2,0,0,0,2009.0,20,0,0,2
318,1,1,0,0,5,0,1,1,2009.0,19,0,3,1
319,1,3,2,2,3,1,0,1,2009.0,23,1,1,6
320,1,3,7,2,2,1,0,1,2009.0,16,1,3,2
321,1,2,7,1,2,0,0,0,2009.0,13,0,2,3
322,1,3,2,2,3,1,0,1,2009.0,4,0,3,1
323,1,1,0,0,2,0,0,1,2009.0,18,0,1,2
324,0,1,8,2,2,0,0,0,2009.0,14,0,4,5
325,1,1,4,3,2,0,0,0,2000.0,25,0,2,4
326,1,3,4,1,3,0,0,1,2020.0,7,1,4,2
327,1,1,4,4,4,1,0,1,2009.0,7,0,2,2
328,1,2,7,2,4,0,0,0,2009.0,10,0,4,6
329,1,3,8,0,4,0,0,1,2019.0,4,0,3,3
330,1,1,6,2,2,1,1,1,2002.0,23,0,4,4
331,1,1,6,2,4,1,1,1,2003.0,25,1,1,3
332,1,1,8,1,4,1,0,1,2015.0,8,0,3,1
333,1,2,2,3,2,0,0,0,2009.0,13,0,3,2
334,1,2,5,1,2,1,0,1,2009.0,4,0,4,2
335,1,1,4,4,3,0,0,1,2006.0,22,0,3,4
336,1,1,4,0,2,1,0,1,2005.0,33,1,0,4
337,1,3,0,5,3,1,0,0,2009.0,5,0,0,3
338,1,2,3,0,3,0,0,1,2018.0,10,0,4,1
339,1,3,5,2,4,1,0,0,2009.0,6,1,4,3
340,1,3,6,0,3,1,0,1,2013.0,20,1,4,5
341,1,2,8,0,3,0,0,0,2018.0,6,0,3,1
342,1,2,5,0,4,0,0,0,2015.0,10,1,2,1
343,1,2,3,0,2,1,0,1,2016.0,5,0,3,3
344,1,2,4,0,4,0,0,1,1997.0,25,1,0,2
345,1,3,0,3,2,0,0,1,2009.0,10,0,2,4
346,1,1,7,0,1,0,0,1,2007.0,22,0,4,3
347,1,1,0,3,5,0,0,0,2009.0,12,0,2,2
348,1,1,3,0,3,0,0,0,2013.0,15,1,1,3
349,1,3,0,0,5,1,1,1,2009.0,17,0,3,3
350,1,1,5,0,4,1,0,1,2023.0,0,0,4,0
351,1,1,4,2,3,1,0,1,2009.0,6,0,3,3
352,0,3,3,0,8,0,0,1,1998.0,25,0,4,4
353,1,2,7,0,2,0,0,0,2009.0,4,0,3,6
354,1,2,8,3,2,1,0,1,2019.0,4,1,4,1
355,1,1,5,0,3,1,0,1,1999.0,30,1,3,3
356,1,2,2,0,2,1,0,1,2009.0,8,0,3,5
357,1,2,6,4,2,0,0,1,2005.0,24,1,1,6
358,1,1,4,3,2,0,0,0,2009.0,9,0,0,3
359,1,1,8,5,3,1,0,1,2009.0,7,1,1,2
360,1,1,5,4,2,1,0,1,2009.0,17,1,1,6
361,1,3,2,1,3,0,0,0,2009.0,19,1,2,2
362,1,1,0,0,4,1,0,0,2009.0,12,0,0,2
363,1,2,7,1,3,1,1,0,2009.0,18,1,1,5
364,1,3,1,0,2,0,0,0,2009.0,36,0,2,3
365,1,1,3,2,3,1,0,1,2009.0,4,1,1,4
366,1,2,4,2,2,1,0,1,2003.0,25,1,1,2
367,1,0,8,0,6,0,0,0,2006.0,34,1,4,3
368,0,2,3,0,2,1,0,0,1997.0,32,1,1,5
369,1,2,5,0,2,1,0,1,2005.0,35,0,3,6
370,1,1,8,0,2,1,0,0,2014.0,21,0,0,1
371,1,1,2,1,4,1,0,1,2009.0,4,0,4,2
372,1,3,4,0,4,0,0,0,2020.0,5,1,4,1
373,1,1,4,0,4,0,0,0,2009.0,24,1,1,5
374,1,1,7,0,4,0,0,0,2011.0,19,0,0,2
375,1,1,3,4,2,0,0,1,2006.0,23,0,4,6
376,1,1,0,2,3,0,0,1,2009.0,14,0,1,6
377,0,1,3,0,3,0,0,0,2009.0,12,0,0,5
378,1,1,7,0,5,1,0,1,2009.0,13,0,0,2
379,1,3,1,0,2,1,0,0,2009.0,12,0,4,2
380,1,3,1,0,2,0,0,1,2009.0,22,0,4,6
381,1,1,8,0,3,0,1,1,2010.0,20,0,3,3
382,1,3,6,0,5,1,0,1,2002.0,24,0,4,3
383,1,3,8,1,5,1,0,0,2008.0,18,0,0,2
384,1,3,8,0,3,1,0,0,2001.0,26,0,4,4
385,1,3,1,0,4,0,0,1,2009.0,20,0,3,2
386,1,1,8,3,2,1,0,1,2008.0,18,1,1,3
387,1,2,6,2,3,0,0,1,2009.0,11,1,1,5
388,1,1,6,1,3,0,1,1,2006.0,17,0,2,5
389,1,3,6,0,7,0,0,1,2014.0,12,0,0,1
390,1,1,3,1,3,1,0,1,2022.0,0,0,4,0
391,1,1,0,0,3,0,0,0,2009.0,21,0,2,2
392,1,1,5,0,2,1,0,1,2022.0,0,0,4,0
393,1,1,8,3,3,0,0,0,2009.0,4,1,3,6
394,1,1,1,3,4,1,0,1,2009.0,17,0,2,6
395,1,1,6,0,3,1,0,0,2019.0,8,0,4,3
396,1,2,8,0,3,0,0,0,2012.0,9,1,1,5
397,1,3,4,0,4,0,0,0,2001.0,30,0,2,4
398,1,3,1,1,3,1,0,1,2009.0,19,0,3,6
399,1,3,0,0,3,1,0,1,2009.0,25,0,0,4
400,1,3,4,0,2,0,0,0,2021.0,5,0,3,1
401,1,3,7,0,6,1,0,0,2000.0,29,0,2,3
402,1,2,6,0,4,0,0,0,1999.0,24,0,0,4
403,1,1,1,0,2,0,0,1,2009.0,21,0,1,4
404,0,3,5,0,5,1,0,0,2016.0,21,1,1,4
405,1,3,1,3,4,0,0,0,2009.0,10,1,3,6
406,1,0,7,0,6,1,1,1,2014.0,9,0,2,5
407,1,1,6,0,2,0,0,1,2006.0,38,0,2,3
408,1,1,6,2,3,0,0,0,2009.0,15,0,4,4
409,1,1,5,3,3,1,0,1,2009.0,6,0,3,4
410,0,1,8,0,3,0,0,0,2008.0,17,0,0,4
411,0,2,7,0,3,1,0,1,2013.0,16,0,0,2
412,1,1,7,0,3,0,1,1,2009.0,20,1,4,5
413,0,3,8,3,2,1,0,1,2009.0,5,0,4,5
414,1,1,2,3,3,0,0,0,2009.0,4,0,4,1
415,1,1,8,2,3,1,0,1,1996.0,26,0,2,5
416,1,1,2,3,3,0,0,1,2009.0,9,1,0,3
417,0,1,3,4,2,0,0,1,2001.0,27,1,4,6
418,1,1,0,0,4,0,0,0,2009.0,34,0,0,4
419,1,2,5,0,4,0,0,0,2018.0,6,0,4,3
420,1,3,1,0,6,0,0,0,2009.0,26,0,4,3
421,1,2,0,0,2,1,1,1,2009.0,0,0,4,0
422,1,1,1,0,2,0,0,1,2009.0,26,0,0,6
423,0,3,4,0,2,1,0,1,2012.0,17,0,4,3
424,1,1,0,0,2,0,0,1,2009.0,28,0,0,2
425,1,1,0,0,3,1,0,0,2009.0,20,0,4,3
426,1,2,8,0,2,1,0,1,2009.0,4,1,4,1
427,0,3,5,0,5,0,0,0,2017.0,12,0,0,3
428,1,1,0,0,4,1,1,1,2009.0,25,0,2,2
429,1,2,6,0,3,0,1,1,2010.0,18,0,2,5
430,1,3,3,0,4,0,1,0,2009.0,16,1,3,4
431,1,1,2,5,4,0,0,1,2009.0,9,0,4,1
432,1,1,5,0,2,0,0,1,2003.0,32,0,3,3
433,1,3,5,1,4,0,0,1,2009.0,13,0,3,6
434,1,1,5,0,4,1,0,1,2018.0,12,1,1,3
435,1,1,1,3,4,1,0,1,2009.0,18,0,4,3
436,1,1,3,0,4,0,0,1,2008.0,17,1,1,2
437,1,2,5,1,2,1,1,1,2009.0,11,1,4,2
438,1,3,6,0,4,1,0,1,2000.0,27,1,0,5
439,1,3,5,4,2,1,0,1,2009.0,19,1,1,4
440,1,0,6,1,6,1,0,1,2009.0,11,0,2,3
441,1,2,5,0,2,1,1,0,2022.0,4,1,4,3
442,1,2,4,0,2,1,0,1,2007.0,22,0,4,4
443,1,1,4,0,3,1,0,1,2004.0,17,0,2,6
